LED_type,Sample_ID,Material,Dies,CCT,Ts,IF,Time,Flux
1,24,2,2,2700,56.8,100,5210,97.6
1,24,2,2,2700,56.8,100,6044,97.7
1,24,2,2,2700,56.8,100,6805,97.5
1,24,2,2,2700,56.8,100,7601,97.5
1,24,2,2,2700,56.8,100,8436,97.4
1,24,2,2,2700,56.8,100,9269,96.9
1,24,2,2,2700,56.8,100,10100,97.2
1,25,2,2,2700,56.8,100,0,100
1,25,2,2,2700,56.8,100,541,98.9
1,25,2,2,2700,56.8,100,1008,99
1,25,2,2,2700,56.8,100,1698,99
1,25,2,2,2700,56.8,100,2380,98.7
1,25,2,2,2700,56.8,100,3142,98.5
1,25,2,2,2700,56.8,100,3830,98.5
1,25,2,2,2700,56.8,100,4545,98.6
1,25,2,2,2700,56.8,100,5210,98.4
1,25,2,2,2700,56.8,100,6044,98.4
1,25,2,2,2700,56.8,100,6805,98.3
1,25,2,2,2700,56.8,100,7601,98.3
1,25,2,2,2700,56.8,100,8436,98.3
1,25,2,2,2700,56.8,100,9269,98
1,25,2,2,2700,56.8,100,10100,98.5
1,1,2,2,2700,86.5,100,0,100
1,1,2,2,2700,86.5,100,541,98.5
1,1,2,2,2700,86.5,100,1007,98.5
1,1,2,2,2700,86.5,100,1697,98.2
1,1,2,2,2700,86.5,100,2379,97.7
1,1,2,2,2700,86.5,100,3141,97.5
1,1,2,2,2700,86.5,100,3829,97.5
1,1,2,2,2700,86.5,100,4544,97.1
1,1,2,2,2700,86.5,100,5210,97.1
1,1,2,2,2700,86.5,100,6043,97.2
1,1,2,2,2700,86.5,100,6805,96.9
1,1,2,2,2700,86.5,100,7601,96.9
1,1,2,2,2700,86.5,100,8437,96.5
1,1,2,2,2700,86.5,100,9269,96.3
1,1,2,2,2700,86.5,100,10100,96.4
1,2,2,2,2700,86.5,100,0,100
1,2,2,2,2700,86.5,100,541,98.5
1,2,2,2,2700,86.5,100,1007,98.3
1,2,2,2,2700,86.5,100,1697,97.9
1,2,2,2,2700,86.5,100,2379,97.6
1,2,2,2,2700,86.5,100,3141,97.3
1,2,2,2,2700,86.5,100,3829,97.2
1,2,2,2,2700,86.5,100,4544,97
1,2,2,2,2700,86.5,100,5210,96.9
1,2,2,2,2700,86.5,100,6043,97.2
1,2,2,2,2700,86.5,100,6805,97
1,2,2,2,2700,86.5,100,7601,96.9
1,2,2,2,2700,86.5,100,8437,96.6
1,2,2,2,2700,86.5,100,9269,96.4
1,2,2,2,2700,86.5,100,10100,96.6
1,3,2,2,2700,86.5,100,0,100
1,3,2,2,2700,86.5,100,541,98.4
1,3,2,2,2700,86.5,100,1007,98.3
1,3,2,2,2700,86.5,100,1697,97.9
1,3,2,2,2700,86.5,100,2379,97.6
1,3,2,2,2700,86.5,100,3141,97.1
1,3,2,2,2700,86.5,100,3829,97
1,3,2,2,2700,86.5,100,4544,96.9
1,3,2,2,2700,86.5,100,5210,96.7
1,3,2,2,2700,86.5,100,6043,97
1,3,2,2,2700,86.5,100,6805,96.9
1,3,2,2,2700,86.5,100,7601,96.7
1,3,2,2,2700,86.5,100,8437,96.5
1,3,2,2,2700,86.5,100,9269,96.2
1,3,2,2,2700,86.5,100,10100,96.4
1,4,2,2,2700,86.5,100,0,100
1,4,2,2,2700,86.5,100,541,98.4
1,4,2,2,2700,86.5,100,1007,98.2
1,4,2,2,2700,86.5,100,1697,97.8
1,4,2,2,2700,86.5,100,2379,97.6
1,4,2,2,2700,86.5,100,3141,96.9
1,4,2,2,2700,86.5,100,3829,96.9
1,4,2,2,2700,86.5,100,4544,96.9
1,4,2,2,2700,86.5,100,5210,96.7
1,4,2,2,2700,86.5,100,6043,96.9
