Test_ID,Sample_ID,Ts,IF,Time,Flux_t
5,4,85,0.25,5544,0.9648
5,5,85,0.25,5544,0.9761
5,6,85,0.25,5544,0.962
5,7,85,0.25,5544,0.9849
5,8,85,0.25,5544,0.9856
5,9,85,0.25,5544,0.9606
5,10,85,0.25,5544,0.988
5,11,85,0.25,5544,0.9651
5,12,85,0.25,5544,0.9628
5,13,85,0.25,5544,0.994
5,14,85,0.25,5544,0.9557
5,15,85,0.25,5544,0.9748
5,16,85,0.25,5544,0.9538
5,17,85,0.25,5544,0.986
5,18,85,0.25,5544,0.9851
5,19,85,0.25,5544,0.9577
5,20,85,0.25,5544,0.988
5,1,85,0.25,6048,0.974
5,2,85,0.25,6048,0.9675
5,3,85,0.25,6048,0.9898
5,4,85,0.25,6048,0.9785
5,5,85,0.25,6048,0.9801
5,6,85,0.25,6048,0.9746
5,7,85,0.25,6048,0.9833
5,8,85,0.25,6048,0.9846
5,9,85,0.25,6048,0.9709
5,10,85,0.25,6048,0.9873
5,11,85,0.25,6048,0.9788
5,12,85,0.25,6048,0.971
5,13,85,0.25,6048,0.9879
5,14,85,0.25,6048,0.9731
5,15,85,0.25,6048,0.9826
5,16,85,0.25,6048,0.9652
5,17,85,0.25,6048,0.9824
5,18,85,0.25,6048,0.9892
5,19,85,0.25,6048,0.9636
5,20,85,0.25,6048,0.9893
5,1,85,0.25,6552,0.9636
5,2,85,0.25,6552,0.9581
5,3,85,0.25,6552,0.9856
5,4,85,0.25,6552,0.9659
5,5,85,0.25,6552,0.976
5,6,85,0.25,6552,0.9621
5,7,85,0.25,6552,0.9796
5,8,85,0.25,6552,0.9804
5,9,85,0.25,6552,0.9592
5,10,85,0.25,6552,0.9832
5,11,85,0.25,6552,0.9633
5,12,85,0.25,6552,0.963
5,13,85,0.25,6552,0.9952
5,14,85,0.25,6552,0.956
5,15,85,0.25,6552,0.9774
5,16,85,0.25,6552,0.9529
5,17,85,0.25,6552,0.9886
5,18,85,0.25,6552,0.9887
5,19,85,0.25,6552,0.9602
5,20,85,0.25,6552,0.9917
5,1,85,0.25,7056,0.9655
5,2,85,0.25,7056,0.9649
5,3,85,0.25,7056,0.9861
5,4,85,0.25,7056,0.9683
5,5,85,0.25,7056,0.9765
5,6,85,0.25,7056,0.967
5,7,85,0.25,7056,0.9801
5,8,85,0.25,7056,0.9805
5,9,85,0.25,7056,0.9664
5,10,85,0.25,7056,0.9838
5,11,85,0.25,7056,0.9742
5,12,85,0.25,7056,0.9712
5,13,85,0.25,7056,0.9846
5,14,85,0.25,7056,0.9671
5,15,85,0.25,7056,0.9772
5,16,85,0.25,7056,0.9624
5,17,85,0.25,7056,0.9858
5,18,85,0.25,7056,0.9865
5,19,85,0.25,7056,0.9612
5,20,85,0.25,7056,0.989
5,1,85,0.25,7560,0.9674
5,2,85,0.25,7560,0.9741
5,3,85,0.25,7560,0.9857
5,4,85,0.25,7560,0.9715
5,5,85,0.25,7560,0.973
5,6,85,0.25,7560,0.9741
5,7,85,0.25,7560,0.9811
5,8,85,0.25,7560,0.9822
5,9,85,0.25,7560,0.9736
5,10,85,0.25,7560,0.9833
5,11,85,0.25,7560,0.9718
5,12,85,0.25,7560,0.9675
5,13,85,0.25,7560,0.9846
5,14,85,0.25,7560,0.9652
5,15,85,0.25,7560,0.9768
5,16,85,0.25,7560,0.9584
5,17,85,0.25,7560,0.9854
5,18,85,0.25,7560,0.9855
5,19,85,0.25,7560,0.9583
5,20,85,0.25,7560,0.9882
5,1,85,0.25,8064,0.9605
5,2,85,0.25,8064,0.9559
5,3,85,0.25,8064,0.979
5,4,85,0.25,8064,0.9613
5,5,85,0.25,8064,0.9669
5,6,85,0.25,8064,0.9577
5,7,85,0.25,8064,0.9712
5,8,85,0.25,8064,0.9741
5,9,85,0.25,8064,0.9574
5,10,85,0.25,8064,0.9774
5,11,85,0.25,8064,0.9816
5,12,85,0.25,8064,0.9708
5,13,85,0.25,8064,0.9876
5,14,85,0.25,8064,0.9706
5,15,85,0.25,8064,0.9802
5,16,85,0.25,8064,0.9635
5,17,85,0.25,8064,0.9865
5,18,85,0.25,8064,0.9882
5,19,85,0.25,8064,0.9651
5,20,85,0.25,8064,0.9907
5,1,85,0.25,8568,0.9563
5,2,85,0.25,8568,0.9572
5,3,85,0.25,8568,0.9811
5,4,85,0.25,8568,0.9598
5,5,85,0.25,8568,0.9693
5,6,85,0.25,8568,0.959
5,7,85,0.25,8568,0.9753
5,8,85,0.25,8568,0.9751
5,9,85,0.25,8568,0.9598
5,10,85,0.25,8568,0.9796
5,11,85,0.25,8568,0.9618
5,12,85,0.25,8568,0.9567
5,13,85,0.25,8568,0.9758
5,14,85,0.25,8568,0.9573
5,15,85,0.25,8568,0.9692
5,16,85,0.25,8568,0.9521
5,17,85,0.25,8568,0.9769
5,18,85,0.25,8568,0.9771
5,19,85,0.25,8568,0.9496
5,20,85,0.25,8568,0.9791
5,1,85,0.25,9072,0.9501
5,2,85,0.25,9072,0.9517
5,3,85,0.25,9072,0.9746
5,4,85,0.25,9072,0.9531
5,5,85,0.25,9072,0.9629
5,6,85,0.25,9072,0.9529
5,7,85,0.25,9072,0.9659
5,8,85,0.25,9072,0.9683
5,9,85,0.25,9072,0.9512
5,10,85,0.25,9072,0.9758
5,11,85,0.25,9072,0.9702
5,12,85,0.25,9072,0.9642
5,13,85,0.25,9072,0.9801
5,14,85,0.25,9072,0.9628
5,15,85,0.25,9072,0.9742
5,16,85,0.25,9072,0.9612
5,17,85,0.25,9072,0.9785
5,18,85,0.25,9072,0.982
5,19,85,0.25,9072,0.9564
5,20,85,0.25,9072,0.9855
