Test_ID,Sample_ID,Time,Flux_t,DeltaColor_t
1,11,322,0.89036,NaN
1,11,345,0.88306,NaN
1,11,368,0.84629,NaN
1,11,391,0.86511,NaN
1,11,414,0.86178,NaN
1,11,437,0.86197,NaN
1,11,460,0.85329,NaN
1,11,483,0.85329,NaN
1,11,506,0.84669,NaN
1,11,529,0.84202,NaN
1,11,552,0.84168,NaN
1,11,575,0.83366,NaN
1,11,598,0.83822,NaN
1,11,621,0.83163,NaN
1,11,644,0.82292,NaN
1,11,667,0.82137,NaN
1,11,690,0.76968,NaN
1,11,713,0.76447,NaN
1,11,736,0.76088,NaN
1,11,759,0.75186,NaN
1,11,782,0.75384,NaN
1,11,805,0.75212,NaN
1,11,828,0.74502,NaN
1,11,851,0.74361,NaN
1,11,874,0.71172,NaN
1,11,897,0.73662,NaN
1,11,920,0.73913,NaN
1,11,943,0.73057,NaN
1,11,966,0.73199,NaN
1,11,989,0.70433,NaN
1,11,1012,0.74418,NaN
1,11,1035,0.71088,NaN
1,11,1058,0.7259,NaN
1,11,1081,0.71862,NaN
1,11,1104,0.70391,NaN
1,11,1127,0.69915,NaN
1,11,1150,0.71811,NaN
1,11,1173,0.70212,NaN
1,11,1196,0.70495,NaN
1,11,1219,0.69952,NaN
1,11,1242,0.69542,NaN
1,11,1265,0.6928,NaN
1,11,1288,0.68852,NaN
1,11,1311,0.68422,NaN
1,11,1334,0.68336,NaN
1,11,1357,0.67526,NaN
1,11,1380,0.67707,NaN
1,11,1403,0.67628,NaN
1,11,1426,0.66851,NaN
1,11,1449,0.66428,NaN
1,11,1472,0.6658,NaN
1,11,1495,0.66825,NaN
1,11,1518,0.64569,NaN
1,11,1541,0.65502,NaN
1,11,1564,0.65563,NaN
1,11,1587,0.65107,NaN
1,11,1610,0.64937,NaN
1,11,1633,0.64564,NaN
1,12,0,1,NaN
1,12,23,1.00623,NaN
1,12,46,0.94744,NaN
1,12,69,0.98882,NaN
1,12,92,0.96257,NaN
1,12,115,0.90681,NaN
1,12,138,0.95358,NaN
1,12,161,0.94088,NaN
1,12,184,0.93533,NaN
1,12,207,0.92701,NaN
1,12,230,0.92648,NaN
1,12,253,0.90485,NaN
1,12,276,0.89531,NaN
1,12,299,0.896,NaN
1,12,322,0.89722,NaN
1,12,345,0.89013,NaN
1,12,368,0.85665,NaN
1,12,391,0.87668,NaN
1,12,414,0.87284,NaN
